fromTid,toTid
tt0073486,tt0095953
tt0073486,tt2106476
tt0073486,tt1853728
tt0073486,tt0169547
tt0073486,tt0107818
tt0073486,tt1535109
tt0073486,tt0099077
tt0073486,tt1821549
tt0073486,tt1210166
tt0073486,tt0079417
tt0073486,tt1205489
tt0073486,tt0105323
tt0074958,tt0118749
tt0074958,tt0084855
tt0074958,tt0120382
tt0074958,tt0073486
tt0074958,tt1124035
tt0074958,tt0064665
tt0074958,tt0169547
tt0074958,tt0060827
tt0074958,tt0104348
tt0074958,tt1210166
tt0074958,tt0079417
tt0074958,tt0050986
tt0075148,tt0085154
tt0075148,tt0092272
tt0075148,tt0964517
tt0075148,tt0479143
tt0075148,tt0300532
tt0075148,tt0417433
tt0075148,tt0116695
tt0075148,tt0126916
tt0075148,tt0079817
tt0075148,tt0338216
tt0075148,tt0054997
tt0075148,tt0090270
tt0075314,tt0245712
tt0075314,tt0067800
tt0075314,tt0365737
tt0075314,tt0465551
tt0075314,tt0396171
tt0075314,tt1242460
tt0075314,tt1063669
tt0075314,tt0405094
tt0075314,tt1568346
tt0075314,tt0069947
tt0075314,tt0144084
tt0075314,tt0250258
tt0075686,tt0021749
tt0075686,tt0095765
tt0075686,tt0375063
tt0075686,tt0061722
tt0075686,tt0301357
tt0075686,tt1022603
tt0075686,tt0053604
tt0075686,tt0054698
tt0075686,tt0272338
tt0075686,tt0098635
tt0075686,tt0091167
tt0075686,tt0079522
tt0076759,tt1300854
tt0076759,tt0401729
tt0076759,tt0348150
tt0076759,tt0121765
tt0076759,tt0145487
tt0076759,tt0486576
tt0076759,tt0086190
tt0076759,tt0120667
tt0076759,tt0770828
tt0076759,tt0121766
tt0076759,tt0111282
tt0076759,tt0120915
tt0077416,tt0067277
tt0077416,tt0038890
tt0077416,tt0093209
tt0077416,tt0056111
tt0077416,tt0064040
tt0077416,tt0170691
tt0077416,tt0108211
tt0077416,tt0078788
tt0077416,tt0086969
tt0077416,tt0059274
tt0077416,tt0101829
tt0077416,tt0093058
tt0078748,tt0049366
tt0078748,tt0884328
tt0078748,tt0289043
tt0078748,tt0448134
tt0078748,tt0120907
tt0078748,tt0120804
tt0078748,tt0087262
tt0078748,tt0093773
tt0078748,tt0084787
tt0078748,tt0024184
tt0078748,tt0087175
tt0078748,tt0046876
tt0078788,tt0067277
tt0078788,tt0038890
tt0078788,tt0056111
tt0078788,tt0064040
tt0078788,tt0170691
tt0078788,tt0092593
tt0078788,tt0108211
tt0078788,tt0046359
tt0078788,tt0086969
tt0078788,tt0101829
tt0078788,tt0077416
tt0078788,tt0093058
tt0079470,tt0063415
tt0079470,tt1675434
tt0079470,tt0063462
tt0079470,tt0086465
tt0079470,tt0795368
tt0079470,tt1605783
tt0079470,tt0066765
